X,Y,id,type2,lat,lon,DISTRICT_E
114.146908,22.3320934,434,robbery,22.332093400000002,114.146908000000000,Sham Shui Po
114.1528532,22.2418581,435,wounding and serious assault,22.241858100000002,114.152853200000000,Southern
114.1751471,22.276022,436,wounding and serious assault,22.276022000000001,114.175147100000000,Wan Chai
114.0041996,22.4606419,437,rape,22.460641899999999,114.004199600000010,Yuen Long
113.9725126,22.3908295,438,deception,22.390829499999999,113.972512600000000,Tuen Mun
114.1414685,22.4916829,439,homicide,22.491682900000001,114.141468500000000,North
114.1974398,22.3771304,440,wounding and serious assault,22.377130399999999,114.197439800000000,Sha Tin
114.1796057,22.3185673,441,wounding and serious assault,22.318567300000002,114.179605700000000,Kowloon City
114.169773,22.3203648,442,wounding and serious assault,22.320364800000000,114.169773000000010,Yau Tsim Mong
114.1387332,22.366173,450,criminal intimidation,22.366173000000000,114.138733200000000,Kwai Tsing
